employee_id,name,email,department,role,job_level,years_of_experience,hire_date
E001,Employee 1,,Engineering,Engineering Manager,,,
E002,Employee 2,,Engineering,Senior Developer,,,
E003,Employee 3,,Engineering,Backend Developer,,,
E004,Employee 4,,Engineering,Frontend Developer,,,
E005,Employee 5,,Engineering,DevOps Engineer,,,
E006,Employee 6,,Data Science,Data Scientist,,,
E007,Employee 7,,Data Science,ML Engineer,,,
E008,Employee 8,,HR,HR Executive,,,
E009,Employee 9,,HR,HR Manager,,,
E010,Employee 10,,HR,Training Coordinator,,,
E011,Employee 11,,Engineering,QA Engineer,,,
E012,Employee 12,,Engineering,Intern,,,
E013,Employee 13,,Data Science,Junior Data Analyst,,,
E014,Employee 14,,Engineering,Tech Lead,,,
E015,Employee 15,,Data Science,AI Researcher,,,
E016,Employee 16,,Engineering,Cloud Engineer,,,
E017,Employee 17,,HR,HR Intern,,,
E018,Employee 18,,Engineering,Full Stack Developer,,,
E019,Employee 19,,Engineering,Backend Intern,,,
E020,Employee 20,,Engineering,Junior QA,,,
